"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Étienne André","GreaterEuropean","WestEuropean","Nordic","M","conf/icse/TanCSLAXD16",4
"Étienne Duris","GreaterEuropean","WestEuropean","French","M","conf/iwpc/ChilowiczDR09",1
"Étienne Lozes","GreaterEuropean","WestEuropean","French","M","conf/lics/HirschkoffLS02",1
"Étienne Lozes","GreaterEuropean","WestEuropean","French","M","conf/lfcs/BrocheninDL07",2
"Étienne Lozes","GreaterEuropean","WestEuropean","French","M","conf/fsttcs/HirschkoffLS03",1
"Étienne Lozes","GreaterEuropean","WestEuropean","French","M","conf/concur/LozesV08",0
"Étienne Lozes","GreaterEuropean","WestEuropean","French","M","conf/concur/CairesL04",1
"Étienne Mémin","GreaterEuropean","WestEuropean","French","M","conf/iccv/PapadakisM07",1
"Étienne Mémin","GreaterEuropean","WestEuropean","French","M","conf/cvpr/HellierBMP00",2
"Étienne Mémin","GreaterEuropean","WestEuropean","French","M","conf/iccv/CuzolM05",1
"Étienne Mémin","GreaterEuropean","WestEuropean","French","M","conf/iccv/HeasMHM09",1
"Étienne Mémin","GreaterEuropean","WestEuropean","French","M","conf/iccv/PapadakisCM07",2
"Étienne Payet","GreaterEuropean","WestEuropean","French","M","conf/cade/PayetS11",0
"Étienne Roquain","GreaterEuropean","WestEuropean","French","M","conf/colt/ArlotBR07",2
"Étienne Schramm","GreaterEuropean","WestEuropean","Germanic","M","conf/isaac/KnauerSSW05",1
"Éva Czabarka","GreaterEuropean","EastEuropean","\N","F","conf/soda/CzabarkaKMPT00",0
"Éva Sáfár","GreaterEuropean","EastEuropean","\N","F","conf/acl/MarshallS03",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/icalp/KempeKT05",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/KleinbergT08",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/GuptaT00",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/cvpr/FelzenszwalbPTZ10",2
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/HayrapetyanTW06",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/esa/Tardos03",0
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/focs/BlumeEKKT11",4
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/podc/HayrapetyanTW05",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/stoc/SyrgkanisT13",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/focs/LemeT10",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/ArcherPTT03",3
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/SvitkinaT06",1
"Éva Tardos","GreaterEuropean","WestEuropean","Hispanic","F","conf/soda/LykourisST16",2
